title,domestic_gross_x,foreign_gross,vote_average,vote_count,release_month,production_budget,domestic_gross_y,worldwide_gross,movie_id,genres,averagerating,numvotes
Leap Year,25900000.0,6700000.0,5.6,30,6,19000000.0,25918920.0,32618920.0,tt1216492,"Comedy,Romance",6.5,86125
Leap Year,25900000.0,6700000.0,5.6,30,6,19000000.0,25918920.0,32618920.0,tt1537401,"Drama,Romance",5.9,2211
You Again,25700000.0,6300000.0,6.2,734,9,20000000.0,25702053.0,32838945.0,tt1414382,"Comedy,Family,Romance",5.8,46690
The Losers,23600000.0,5800000.0,6.2,844,4,25000000.0,23591432.0,29863840.0,tt0480255,"Action,Adventure,Crime",6.4,83876
Ramona and Beezus,26200000.0,1100000.0,6.3,460,7,15000000.0,26167002.0,27469621.0,tt0493949,"Adventure,Comedy,Family",6.6,16086
Let Me In,12100000.0,12000000.0,6.7,1061,10,20000000.0,12134935.0,28270399.0,tt1228987,"Drama,Fantasy,Horror",7.1,107012
Let Me In,12100000.0,12000000.0,7.0,2,6,20000000.0,12134935.0,28270399.0,tt1228987,"Drama,Fantasy,Horror",7.1,107012
Just Wright,21500000.0,29900.0,6.2,211,5,12000000.0,21540363.0,21867665.0,tt1407061,"Comedy,Romance,Sport",5.9,12466
Our Family Wedding,20300000.0,1200000.0,5.5,57,3,14000000.0,20255281.0,21410546.0,tt1305583,"Comedy,Romance",4.9,6417
My Soul to Take,14700000.0,6200000.0,5.4,247,10,25000000.0,14744435.0,16727470.0,tt0872230,"Horror,Mystery,Thriller",4.8,18381
Country Strong,20200000.0,310000.0,6.3,126,12,15000000.0,20218921.0,20601987.0,tt1555064,"Drama,Music",6.3,16296
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt1431181,"Comedy,Drama",7.3,26273
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt3508808,"Drama,Romance",6.6,294
Another Year,3200000.0,16500000.0,7.0,150,12,8000000.0,3205706.0,20005613.0,tt5886728,Documentary,7.2,40
Another Year,3200000.0,16500000.0,6.3,4,3,8000000.0,3205706.0,20005613.0,tt1431181,"Comedy,Drama",7.3,26273
Another Year,3200000.0,16500000.0,6.3,4,3,8000000.0,3205706.0,20005613.0,tt3508808,"Drama,Romance",6.6,294
Another Year,3200000.0,16500000.0,6.3,4,3,8000000.0,3205706.0,20005613.0,tt5886728,Documentary,7.2,40
Buried,1000000.0,18100000.0,6.6,1487,9,1987650.0,1044143.0,21270290.0,tt1462758,"Drama,Mystery,Thriller",7.0,139426
Repo Men,13800000.0,4600000.0,6.2,976,3,32000000.0,13942007.0,18195238.0,tt1053424,"Action,Crime,Sci-Fi",6.3,96144
The Nutcracker in 3D,195000.0,16000000.0,5.5,97,11,90000000.0,195459.0,20466016.0,tt1041804,"Action,Family,Fantasy",4.3,3119
Extraordinary Measures,12100000.0,3100000.0,6.3,153,1,31000000.0,12482741.0,15826984.0,tt1244659,Drama,6.5,15673
Somewhere,1800000.0,12200000.0,6.1,376,12,7000000.0,1785645.0,17023121.0,tt1421051,"Comedy,Drama",6.3,40250
Winter's Bone,6500000.0,7300000.0,6.9,931,6,2000000.0,6531503.0,16131551.0,tt1399683,"Drama,Mystery",7.2,127751
Made in Dagenham,1100000.0,11300000.0,6.6,150,11,8000000.0,1095369.0,15644196.0,tt1371155,"Biography,Comedy,Drama",7.2,13121
Blue Valentine,9700000.0,2600000.0,6.9,1677,12,1000000.0,9737892.0,16566240.0,tt1120985,"Drama,Romance",7.4,170089
The Warrior's Way,5700000.0,5400000.0,6.1,203,12,42000000.0,5666340.0,8514325.0,tt1032751,"Action,Fantasy,Western",6.3,24271
Jonah Hex,10500000.0,356000.0,4.6,708,6,47000000.0,10547117.0,11022696.0,tt1075747,"Action,Drama,Fantasy",4.7,51860
Cyrus,7500000.0,2500000.0,6.0,201,6,7000000.0,7468936.0,10062896.0,tt1336617,"Comedy,Drama,Romance",6.3,32457
Conviction,6800000.0,2900000.0,7.2,297,10,12500000.0,6797696.0,11826980.0,tt1244754,"Biography,Crime,Drama",7.2,39771
Stone,1800000.0,7700000.0,5.2,334,10,22000000.0,1810078.0,4065020.0,tt1423995,"Drama,Thriller",5.4,38667
Stone,1800000.0,7700000.0,5.2,334,10,22000000.0,1810078.0,4065020.0,tt2156825,"Crime,Drama,Thriller",5.6,607
Stone,1800000.0,7700000.0,4.9,8,6,22000000.0,1810078.0,4065020.0,tt1423995,"Drama,Thriller",5.4,38667
Stone,1800000.0,7700000.0,4.9,8,6,22000000.0,1810078.0,4065020.0,tt2156825,"Crime,Drama,Thriller",5.6,607
Never Let Me Go,2400000.0,7000000.0,6.8,1294,9,15000000.0,2434652.0,11173718.0,tt1334260,"Drama,Romance,Sci-Fi",7.1,130084
MacGruber,8500000.0,797000.0,5.3,270,5,10000000.0,8525600.0,8629895.0,tt1470023,"Action,Comedy,Romance",5.5,39782
Centurion,124000.0,6700000.0,6.1,673,2,15000000.0,123570.0,7885048.0,tt1020558,"Action,Adventure,Drama",6.4,74085
Animal Kingdom,1000000.0,5700000.0,6.8,399,8,4200000.0,1044039.0,8078683.0,tt1313092,"Crime,Drama",7.3,51576
It's Kind of a Funny Story,6400000.0,128000.0,7.0,1324,10,8000000.0,6363628.0,6632950.0,tt0804497,"Comedy,Drama,Romance",7.1,125583
Rabbit Hole,2200000.0,2900000.0,6.8,292,12,5000000.0,2229058.0,6205034.0,tt0935075,Drama,7.0,45357
The Runaways,3600000.0,1100000.0,6.4,448,3,9500000.0,3573673.0,5278632.0,tt1017451,"Biography,Drama,Music",6.6,43792
Four Lions,305000.0,4400000.0,7.0,621,11,3750000.0,310007.0,2436111.0,tt1341167,"Comedy,Crime,Drama",7.3,66209
Please Give,4000000.0,280000.0,6.3,81,1,3000000.0,4033574.0,4570178.0,tt0878835,"Comedy,Drama",6.6,10652
Monsters,237000.0,4000000.0,6.2,848,10,500000.0,237301.0,5639730.0,tt1470827,"Drama,Sci-Fi,Thriller",6.4,84332
Monsters,237000.0,4000000.0,6.2,848,10,500000.0,237301.0,5639730.0,tt5253186,Horror,4.0,6
Monsters,237000.0,4000000.0,7.4,5,10,500000.0,237301.0,5639730.0,tt1470827,"Drama,Sci-Fi,Thriller",6.4,84332
Monsters,237000.0,4000000.0,7.4,5,10,500000.0,237301.0,5639730.0,tt5253186,Horror,4.0,6
The Killer Inside Me,217000.0,3800000.0,5.9,304,4,13000000.0,217277.0,3617277.0,tt0954947,"Crime,Drama,Horror",6.1,31727
Wild Target,109000.0,3300000.0,6.4,356,10,8000000.0,109338.0,5314194.0,tt1235189,"Action,Comedy,Crime",6.8,33915
Kites,1600000.0,1300000.0,5.8,67,5,9200000.0,1685269.0,17155193.0,tt1198101,"Action,Drama,Romance",6.1,11353
Flipped,1800000.0,75057041.62549213,7.4,859,8,14000000.0,1755212.0,4289993.0,tt0817177,"Comedy,Drama,Romance",7.7,74937
Flipped,1800000.0,75057041.62549213,7.0,2,12,14000000.0,1755212.0,4289993.0,tt0817177,"Comedy,Drama,Romance",7.7,74937
It's a Wonderful Afterlife,28745845.06698422,1300000.0,4.6,12,10,10000000.0,0.0,1642939.0,tt1319716,"Comedy,Drama,Fantasy",5.4,1361
Casino Jack,1000000.0,40700.0,6.1,149,12,12500000.0,2039869.0,2272186.0,tt1194417,"Biography,Comedy,Crime",6.2,16191
All Good Things,582000.0,62500.0,6.0,493,12,20000000.0,582024.0,873617.0,tt1175709,"Crime,Drama,Mystery",6.3,49684
I Spit on Your Grave,93100.0,480000.0,6.3,977,10,1750000.0,93051.0,1278471.0,tt1242432,"Horror,Thriller",6.3,68592
The Extra Man,453000.0,4500.0,5.9,46,8,7000000.0,453377.0,492108.0,tt1361313,Comedy,5.9,4580
Tiny Furniture,392000.0,75057041.62549213,5.9,82,11,50000.0,391674.0,424149.0,tt1570989,"Comedy,Drama,Romance",6.2,13397
The Tempest,278000.0,68700.0,5.8,52,12,20000000.0,277943.0,277943.0,tt1274300,"Comedy,Drama,Fantasy",5.4,7073
Welcome to the Rileys,159000.0,158000.0,6.5,241,10,10000000.0,152857.0,355919.0,tt1183923,Drama,7.0,22210
The Girl on the Train,208000.0,97100.0,5.9,25,7,45000000.0,75395035.0,174278214.0,tt3631112,"Crime,Drama,Mystery",6.5,150977
The Girl on the Train,208000.0,97100.0,6.3,3479,10,45000000.0,75395035.0,174278214.0,tt3631112,"Crime,Drama,Mystery",6.5,150977
Transformers: Dark of the Moon,352400000.0,771400000.0,6.1,4961,6,195000000.0,352390543.0,1123790543.0,tt1399103,"Action,Adventure,Sci-Fi",6.2,366409
Pirates of the Caribbean: On Stranger Tides,241100000.0,804600000.0,6.4,8571,5,410600000.0,241063875.0,1045663875.0,tt1298650,"Action,Adventure,Fantasy",6.6,447624
Kung Fu Panda 2,165200000.0,500400000.0,6.7,3628,5,150000000.0,165249063.0,664837547.0,tt1302011,"Action,Adventure,Animation",7.2,228465
Fast Five,209800000.0,416300000.0,7.2,4294,4,125000000.0,210031325.0,630163454.0,tt1596343,"Action,Crime,Thriller",7.3,329892
The Hangover Part II,254500000.0,332300000.0,6.4,6231,5,80000000.0,254464305.0,586464305.0,tt1411697,"Comedy,Mystery",6.5,432800
The Smurfs,142600000.0,421100000.0,5.6,2112,7,110000000.0,142614158.0,563749323.0,tt0472181,"Adventure,Animation,Comedy",5.5,77577
Cars 2,191500000.0,370700000.0,5.9,4058,6,200000000.0,191450875.0,560155383.0,tt1216475,"Adventure,Animation,Comedy",6.2,138914
Puss in Boots,149300000.0,405700000.0,6.3,1422,10,130000000.0,149260504.0,554987477.0,tt0448694,"Action,Adventure,Animation",6.6,133355
Sherlock Holmes: A Game of Shadows,186800000.0,358600000.0,7.1,6380,12,125000000.0,186848418.0,535663443.0,tt1515091,"Action,Adventure,Crime",7.5,394189
Rio,143600000.0,341000000.0,6.6,3730,4,90000000.0,143619809.0,487519809.0,tt1436562,"Adventure,Animation,Comedy",6.9,191621
Rise of the Planet of the Apes,176800000.0,305000000.0,7.2,7259,8,93000000.0,176760185.0,470986200.0,tt1318514,"Action,Drama,Sci-Fi",7.6,473020
Thor,181000000.0,268300000.0,6.7,12764,5,150000000.0,181030624.0,449326618.0,tt0800369,"Action,Adventure,Fantasy",7.0,683264
The Adventures of Tintin,77600000.0,296400000.0,6.8,3251,12,130000000.0,77591831.0,373993951.0,tt0983193,"Action,Adventure,Animation",7.3,202430
Captain America: The First Avenger,176700000.0,193900000.0,6.9,12810,7,140000000.0,176654505.0,370569776.0,tt0458339,"Action,Adventure,Sci-Fi",6.9,668137
X-Men: First Class,146400000.0,207200000.0,7.2,8211,6,160000000.0,146408305.0,355408305.0,tt1270798,"Action,Adventure,Sci-Fi",7.7,608930
Alvin and the Chipmunks: Chipwrecked,133100000.0,209600000.0,5.5,1055,12,80000000.0,133107389.0,349088523.0,tt1615918,"Adventure,Animation,Comedy",4.4,28158
Real Steel,85500000.0,213800000.0,6.8,4566,10,110000000.0,85463309.0,263880341.0,tt0433035,"Action,Drama,Family",7.1,283534
Bridesmaids,169100000.0,119300000.0,6.5,2783,5,32500000.0,169211718.0,289632023.0,tt1478338,"Comedy,Romance",6.8,249501
Super 8,127000000.0,133100000.0,6.7,3934,6,50000000.0,127004179.0,257972745.0,tt1650062,"Mystery,Sci-Fi,Thriller",7.0,320575
Rango,123500000.0,122200000.0,6.6,3412,3,135000000.0,123477607.0,245724600.0,tt1192628,"Adventure,Animation,Comedy",7.2,215761
The Green Hornet,98800000.0,129000000.0,5.5,1897,1,110000000.0,98780042.0,229155503.0,tt0990407,"Action,Comedy,Crime",5.8,148622
Immortals,83500000.0,143400000.0,5.8,1431,11,75000000.0,83504017.0,211562435.0,tt1253864,"Action,Drama,Fantasy",6.0,152992
Green Lantern,116600000.0,103300000.0,5.1,4290,6,200000000.0,116601172.0,219535492.0,tt1133985,"Action,Adventure,Sci-Fi",5.5,252281
The Help,169700000.0,46900000.0,8.1,3944,8,25000000.0,169705587.0,213120004.0,tt1454029,Drama,8.1,392699
